LocationID,zone,borough,lon,lat
1,Newark Airport,EWR,-74.17400156582248,40.69183016020959
2,Jamaica Bay,Queens,-73.83129979354713,40.61674619937379
3,Allerton/Pelham Gardens,Bronx,-73.8474217852696,40.86447372906584
4,Alphabet City,Manhattan,-73.97696827424141,40.72375208451233
5,Arden Heights,Staten Island,-74.18848459794721,40.55265878064343
6,Arrochar/Fort Wadsworth,Staten Island,-74.07177024696533,40.600324409468406
7,Astoria,Queens,-73.91969433569462,40.761492617043125
8,Astoria Park,Queens,-73.92308626324494,40.77855862576789
9,Auburndale,Queens,-73.78794875477833,40.75103435668664
10,Baisley Park,Queens,-73.79098676199028,40.67895308442328
11,Bath Beach,Brooklyn,-74.00748784386448,40.60427268170344
12,Battery Park,Manhattan,-74.01556349991374,40.70294582144012
13,Battery Park City,Manhattan,-74.01607927269924,40.712037924667264
14,Bay Ridge,Brooklyn,-74.0298925099,40.62483367229869
15,Bay Terrace/Fort Totten,Queens,-73.78597285841018,40.7833330046879
16,Bayside,Queens,-73.77342112932584,40.76273753216493
17,Bedford,Brooklyn,-73.94990480444068,40.69150702161197
18,Bedford Park,Bronx,-73.89018381164814,40.86768222238494
19,Bellerose,Queens,-73.72665540152784,40.73548651046706
20,Belmont,Bronx,-73.88586744911127,40.857779440562844
21,Bensonhurst East,Brooklyn,-73.98353783537917,40.60142907301775
22,Bensonhurst West,Brooklyn,-73.99525864587314,40.61221766982795
23,Bloomfield/Emerson Hill,Staten Island,-74.17088508711593,40.60644824321443
24,Bloomingdale,Manhattan,-73.96547935663406,40.80197051563418
25,Boerum Hill,Brooklyn,-73.98611374739605,40.68563370139058
26,Borough Park,Brooklyn,-73.98866057160336,40.630949253264255
27,Breezy Point/Fort Tilden/Riis Beach,Queens,-73.90691199328067,40.559134755628214
28,Briarwood/Jamaica Hills,Queens,-73.80872922918115,40.71159648931973
29,Brighton Beach,Brooklyn,-73.96121662082737,40.580921751571346
30,Broad Channel,Queens,-73.82192752206782,40.60368693988757
31,Bronx Park,Bronx,-73.87547602176667,40.85774566451417
32,Bronxdale,Bronx,-73.86490091353166,40.864002036456434
33,Brooklyn Heights,Brooklyn,-73.99525009947318,40.6957980847225
34,Brooklyn Navy Yard,Brooklyn,-73.97118860464191,40.70085574405344
35,Brownsville,Brooklyn,-73.91025776959916,40.664002936640344
36,Bushwick North,Brooklyn,-73.91770956300488,40.70052207677384
37,Bushwick South,Brooklyn,-73.92223688327465,40.69499398960586
38,Cambria Heights,Queens,-73.73555411751046,40.69434123971375
39,Canarsie,Brooklyn,-73.8997346848635,40.63803689672939
40,Carroll Gardens,Brooklyn,-73.99595622535054,40.67919897887253
41,Central Harlem,Manhattan,-73.95129204385638,40.804333857858566
42,Central Harlem North,Manhattan,-73.94077208625764,40.8182572500734
43,Central Park,Manhattan,-73.96555540550199,40.78247701262984
44,Charleston/Tottenville,Staten Island,-74.23353546082052,40.52549110546785
45,Chinatown,Manhattan,-73.99815145865519,40.712459285136994
46,City Island,Bronx,-73.78198762631824,40.849085690707966
47,Claremont/Bathgate,Bronx,-73.90031694602852,40.84274838600792
48,Clinton East,Manhattan,-73.98984489812494,40.76225259858687
49,Clinton Hill,Brooklyn,-73.96236337094902,40.687967206026975
50,Clinton West,Manhattan,-73.99513534858681,40.76623762332451
51,Co-Op City,Bronx,-73.82826339600581,40.87397243195906
52,Cobble Hill,Brooklyn,-73.99672407074303,40.6866511779156
53,College Point,Queens,-73.84281297899702,40.780911658515755
54,Columbia Street,Brooklyn,-74.00291135102258,40.68720061705318
55,Coney Island,Brooklyn,-73.98794360684474,40.576961310705336
56,Corona,Queens,-73.85884527575628,40.741406719488175
57,Corona,Queens,-73.8535815482027,40.751819339588245
58,Country Club,Bronx,-73.8203932847595,40.84145193921358
59,Crotona Park,Bronx,-73.89498592772226,40.83855027505839
60,Crotona Park East,Bronx,-73.88590027069773,40.83399041103506
61,Crown Heights North,Brooklyn,-73.93928693565553,40.674469714192334
62,Crown Heights South,Brooklyn,-73.94878830363868,40.666540670529315
63,Cypress Hills,Brooklyn,-73.87817285854474,40.68383988904548
64,Douglaston,Queens,-73.73933650195845,40.760614500455986
65,Downtown Brooklyn/MetroTech,Brooklyn,-73.98608592282788,40.69533747220738
66,DUMBO/Vinegar Hill,Brooklyn,-73.98570157061832,40.70225894512564
67,Dyker Heights,Brooklyn,-74.01380228070624,40.6196189778478
68,East Chelsea,Manhattan,-73.99991779023728,40.7484273300986
69,East Concourse/Concourse Village,Bronx,-73.91503006977001,40.83141625187568
70,East Elmhurst,Queens,-73.86839538867875,40.76335208099607
71,East Flatbush/Farragut,Brooklyn,-73.93796619973367,40.6442876673477
72,East Flatbush/Remsen Village,Brooklyn,-73.92225101477305,40.652364445415
73,East Flushing,Queens,-73.80729410936029,40.75410890581649
74,East Harlem North,Manhattan,-73.9373456595586,40.80116912880846
75,East Harlem South,Manhattan,-73.94575022751276,40.79001067629398
76,East New York,Brooklyn,-73.87682021500527,40.660934157913516
77,East New York/Pennsylvania Avenue,Brooklyn,-73.89536390861545,40.666558715822845
78,East Tremont,Bronx,-73.88552154399945,40.84496040702046
79,East Village,Manhattan,-73.98593745737395,40.727620122038296
80,East Williamsburg,Brooklyn,-73.9367935879161,40.71536964922733
81,Eastchester,Bronx,-73.83664438963196,40.880935114970065
82,Elmhurst,Queens,-73.8771183310234,40.73949534354323
83,Elmhurst/Maspeth,Queens,-73.89217342295797,40.73832393052052
84,Eltingville/Annadale/Prince's Bay,Staten Island,-74.18767927741463,40.528685582160755
85,Erasmus,Brooklyn,-73.95162326816249,40.64611615465671
86,Far Rockaway,Queens,-73.75524330826842,40.60243266654381
87,Financial District North,Manhattan,-74.00749595416085,40.706808425516016
88,Financial District South,Manhattan,-74.0115150281245,40.70335788054845
89,Flatbush/Ditmas Park,Brooklyn,-73.96096805763649,40.63789963509721
90,Flatiron,Manhattan,-73.99697147759031,40.742278583312206
91,Flatlands,Brooklyn,-73.93009718315575,40.62627246088452
92,Flushing,Queens,-73.82885854846761,40.7611014398131
93,Flushing Meadows-Corona Park,Queens,-73.84086521275654,40.74067383007372
94,Fordham South,Bronx,-73.89953594476775,40.858155189262895
95,Forest Hills,Queens,-73.84766908657137,40.72143156737173
96,Forest Park/Highland Park,Queens,-73.8715612898338,40.697001507866105
97,Fort Greene,Brooklyn,-73.9748820144768,40.690786583767746
98,Fresh Meadows,Queens,-73.77725343413134,40.73446263709749
99,Freshkills Park,Staten Island,-74.18642081572338,40.57677255023222
100,Garment District,Manhattan,-73.98878660966813,40.75351274051303
101,Glen Oaks,Queens,-73.7110254285456,40.74599312386359
102,Glendale,Queens,-73.87573702732386,40.7035460869547
103,Governor's Island/Ellis Island/Liberty Island,Manhattan,-74.04528828347375,40.68986010346147
104,Governor's Island/Ellis Island/Liberty Island,Manhattan,-74.04077078511479,40.69876867282886
105,Governor's Island/Ellis Island/Liberty Island,Manhattan,-74.01907288309684,40.68878421555262
106,Gowanus,Brooklyn,-73.99064755008082,40.67351267831398
107,Gramercy,Manhattan,-73.98405214924436,40.73682398302768
108,Gravesend,Brooklyn,-73.9814314279712,40.58840360836442
109,Great Kills,Staten Island,-74.15089028926955,40.55186202510041
110,Great Kills Park,Staten Island,-74.12834311100727,40.54577972821088
111,Green-Wood Cemetery,Brooklyn,-73.9902343725197,40.65213720698318
112,Greenpoint,Brooklyn,-73.94954001249944,40.72950616875672
113,Greenwich Village North,Manhattan,-73.9943047162786,40.732579026253674
114,Greenwich Village South,Manhattan,-73.9973801630823,40.72834036831643
115,Grymes Hill/Clifton,Staten Island,-74.0878388464394,40.61797101224406
116,Hamilton Heights,Manhattan,-73.94852183123933,40.82701260635661
117,Hammels/Arverne,Queens,-73.78962334973271,40.59405915427385
118,Heartland Village/Todt Hill,Staten Island,-74.13298451453818,40.58655482658561
119,Highbridge,Bronx,-73.92615757846964,40.837826783716714
120,Highbridge Park,Manhattan,-73.9301832301702,40.8466669452917
121,Hillcrest/Pomonok,Queens,-73.80244388409426,40.72833291964906
122,Hollis,Queens,-73.76113689765596,40.71063914369108
123,Homecrest,Brooklyn,-73.96433354731992,40.59995386265359
124,Howard Beach,Queens,-73.8449181204672,40.6582475138648
125,Hudson Sq,Manhattan,-74.0074858070925,40.72629040399525
126,Hunts Point,Bronx,-73.8855370337455,40.81207420841891
127,Inwood,Manhattan,-73.9193084235328,40.866074893138844
128,Inwood Hill Park,Manhattan,-73.92436989163414,40.872378832666904
129,Jackson Heights,Queens,-73.88531729044865,40.75731177578825
130,Jamaica,Queens,-73.79398113023713,40.70436904839545
131,Jamaica Estates,Queens,-73.77610108565929,40.72065547306544
132,JFK Airport,Queens,-73.78652986349012,40.64698510024821
133,Kensington,Brooklyn,-73.97619875860275,40.640589941044496
134,Kew Gardens,Queens,-73.82871239790782,40.70805097274517
135,Kew Gardens Hills,Queens,-73.82119497835454,40.72837725250497
136,Kingsbridge Heights,Bronx,-73.90591127838628,40.86526406538747
137,Kips Bay,Manhattan,-73.97649469938301,40.74043892115907
138,LaGuardia Airport,Queens,-73.873628438902,40.774375816732636
139,Laurelton,Queens,-73.7442347963469,40.67709753140416
140,Lenox Hill East,Manhattan,-73.9547390603464,40.76548395144242
141,Lenox Hill West,Manhattan,-73.95963501136171,40.76694805479654
142,Lincoln Square East,Manhattan,-73.98153235360773,40.773633196128905
143,Lincoln Square West,Manhattan,-73.9876456908124,40.775965147319646
144,Little Italy/NoLiTa,Manhattan,-73.99691858884708,40.72088884086805
145,Long Island City/Hunters Point,Queens,-73.94889156149159,40.74537934472369
146,Long Island City/Queens Plaza,Queens,-73.93482891700025,40.75424253686729
147,Longwood,Bronx,-73.89895654395085,40.81967568059164
148,Lower East Side,Manhattan,-73.99089636602756,40.718938301131104
149,Madison,Brooklyn,-73.94813561950728,40.6049134658026
150,Manhattan Beach,Brooklyn,-73.94362868028261,40.58047335130059
151,Manhattan Valley,Manhattan,-73.96816820440951,40.79796198028393
152,Manhattanville,Manhattan,-73.95378220824486,40.81797510016546
153,Marble Hill,Manhattan,-73.91037864632285,40.875967791801536
154,Marine Park/Floyd Bennett Field,Brooklyn,-73.90259516689072,40.59357106687244
155,Marine Park/Mill Basin,Brooklyn,-73.91527729481503,40.61459130879868
156,Mariners Harbor,Staten Island,-74.16723425044069,40.63130767438205
157,Maspeth,Queens,-73.90233075376986,40.72399485039648
158,Meatpacking/West Village West,Manhattan,-74.00898419902498,40.7350351831651
159,Melrose South,Bronx,-73.91284931725946,40.81825981956973
160,Middle Village,Queens,-73.88005123769709,40.71833678461975
161,Midtown Center,Manhattan,-73.97769803041939,40.758027981780664
162,Midtown East,Manhattan,-73.97235615813489,40.756687537617346
163,Midtown North,Manhattan,-73.97756856896713,40.7644214387746
